Id,UserId,StartTimeInSeconds,DurationInSeconds,DistanceInMeters,Steps,AverageSpeedInMetersPerSecond,AveragePaceInMinutesPerKilometer,TotalElevationGainInMeters,AverageHeartRateInBeatsPerMinute
15585,10040,1685052134,157,404.74,432,2.582,6.4549446,,156
15586,10040,1684587056,588,3005.57,1878,5.115,3.2583904,51.522095,162
15587,10040,1684587901,163,403.42,446,2.477,6.7285695,8.206665,158
15588,10040,1684594573,283,1583.66,872,5.59,2.9815147,18.783508,178
15589,10040,1684787745,1831,4398.04,5162,2.402,6.9386625,119.273254,144
15590,10040,1684880362,1802,5365.76,4986,2.977,5.598477,,135
15591,10040,1684882283,1802,4066.98,5122,2.256,7.3877068,0.717041,153
15592,10040,1684957157,3614,12242.53,10456,3.387,4.9207754,95.956116,151
15593,10040,1685049093,736,2676.37,2132,3.639,4.580013,8.070435,156
15594,10040,1685051003,186,1015.75,574,5.461,3.051944,9.790039,156
15595,10040,1685051345,206,1050.05,640,5.089,3.2750375,7.1383667,155
15596,10040,1684192471,122,316.86,342,2.6,6.4102564,,153
15597,10040,1684269121,3003,8389.58,8516,2.793,5.9672995,260.03778,155
15598,10040,1684365363,172,396.95,484,2.31,7.215008,,158
15599,10040,1684452447,856,2004.06,2412,2.342,7.1164246,2.206726,125
15600,10040,1684454035,648,3002.36,1922,4.631,3.5989347,1.274231,143
15601,10040,1684454904,442,2018.52,1338,4.57,3.646973,12.473816,164
15602,10040,1684455559,99,517.01,318,5.2,3.2051282,4.448181,175
15603,10040,1684455761,141,324.01,384,2.293,7.2684984,,170
15604,10040,1684533034,1516,5006.4,4270,3.303,5.045918,13.4348755,142
15605,10040,1684534753,52,234.71,132,4.553,3.66059,,118
15606,10040,1681853713,77,387.79,190,5.068,3.2886083,,121
15607,10040,1681943779,1009,5021.38,3092,4.975,3.350084,15.958069,148
15608,10040,1682022414,3148,9246.07,8984,2.937,5.674725,292.6432,156
15609,10040,1683065658,902,2358.16,2530,2.614,6.3759246,4.779541,151
15610,10040,1683067578,76,423.89,254,5.575,2.9895368,,126
15611,10040,1683067728,73,422.46,228,5.788,2.879521,,129
15612,10040,1683067881,73,420.24,236,5.72,2.913753,,125
15613,10040,1685661132,109,630.66,346,5.777,2.8850038,,149
15614,10040,1685738436,2019,6466.61,5774,3.203,5.203455,25.480042,138
15615,10040,1685742071,572,1806.47,1636,3.16,5.2742615,108.58838,164
15616,10040,1681769736,916,2838.28,2624,3.098,5.3798146,11.179077,137
15617,10040,1681771574,704,3750.11,2180,5.325,3.1298907,13.599548,143
